1744296023016844800, 0, 1/24, O
1744296023017136384, 1, 1/24, O
1744296023017427712, 0, 2/20, O
1744296023017722880, 1, 2/22, O
1744296023018017792, 1, 2/24, O
1744296023018311168, 0, 2/24, O
1744296023018603264, 1, 2/24, O
1744296023018894592, 1, 1/25, O
1744296023019186176, 0, 2/20, O
1744296023019480320, 0, 2/24, O
1744296023019772672, 1, 2/24, O
1744296023020064512, 0, 2/24, O
1744296023020356352, 0, 2/24, O
1744296023020648192, 0, 2/24, O
1744296023020940032, 0, 2/21, O
1744296023021234944, 0, 2/24, O
1744296023021527040, 1, 1/24, O
1744296023021818624, 0, 2/21, O
1744296023022151680, 0, 2/22, O
1744296023022444288, 0, 2/24, O
1744296023022736640, 0, 2/20, O
1744296023023032832, 0, 2/24, O
1744296023023324928, 0, 2/24, O
1744296023023616768, 0, 2/24, O
1744296023023908864, 1, 2/24, O
1744296023024200192, 0, 2/24, O
1744296023024492288, 1, 2/21, O
1744296023024786944, 1, 1/24, O
1744296023025078528, 1, 1/24, O
1744296023025370624, 0, 2/24, O
1744296023025662464, 0, 1/24, O
1744296023025971968, 1, 1/24, O
1744296023026268160, 1, 2/17, O
1744296023026566656, 0, 2/24, O
1744296023026859008, 1, 2/24, O
1744296023027150848, 1, 2/24, O
1744296023027442432, 0, 2/24, O
1744296023027734272, 0, 2/24, O
1744296023028025856, 0, 2/21, O
1744296023028321792, 1, 2/24, O
1744296023028613120, 1, 1/24, O
1744296023028904704, 1, 1/23, O
1744296023029196032, 1, 2/24, O
1744296023029487872, 1, 1/22, O
1744296023029781760, 1, 2/17, O
1744296023030138624, 1, 3/22, O
1744296023030434816, 1, 2/24, O
1744296023030726912, 1, 2/24, O
1744296023031019008, 1, 2/24, O
1744296023031310592, 1, 2/24, O
1744296023031602944, 1, 2/21, O
1744296023031897600, 1, 1/24, O
1744296023032189696, 0, 2/24, O
1744296023032481280, 1, 1/24, O
1744296023032773120, 0, 2/24, O
1744296023033065216, 1, 1/20, O
1744296023033359872, 1, 2/24, O
1744296023033652224, 1, 2/24, O
1744296023033984512, 1, 2/24, O
1744296023034277888, 0, 2/24, O
1744296023034570240, 1, 2/24, O
1744296023034861824, 1, 2/20, O
1744296023035156736, 0, 2/24, O
1744296023035449344, 1, 2/24, O
1744296023035741440, 0, 2/25, O
1744296023036033536, 1, 2/24, O
1744296023036325376, 0, 1/24, O
1744296023036617216, 0, 2/19, O
1744296023036912384, 1, 2/24, O
1744296023037204224, 0, 2/24, O
1744296023037496576, 1, 2/24, O
1744296023037788416, 0, 3/22, O
1744296023038145280, 1, 2/24, O
1744296023038439424, 1, 2/20, O
1744296023038734592, 1, 2/24, O
1744296023039026688, 0, 2/24, O
1744296023039318784, 0, 2/24, O
1744296023039610368, 0, 2/24, O
1744296023039902208, 1, 2/24, O
1744296023040194048, 0, 2/20, O
1744296023040488704, 0, 2/24, O
1744296023040781056, 1, 2/24, O
