1744271412878857728, 1744271412879043584, 1/19, O
1744271412879043584, 1744271412879229440, 1/18, O
1744271412879229440, 1744271412879415296, 1/19, O
1744271412879415296, 1744271412879601920, 1/18, O
1744271412879601920, 1744271412879787776, 1/19, O
1744271412879787776, 1744271412879976960, 1/14, O
1744271412879976960, 1744271412880163584, 1/19, O
1744271412880163584, 1744271412880349696, 1/18, O
1744271412880349696, 1744271412880535808, 1/19, O
1744271412880535808, 1744271412880721664, 1/18, O
1744271412880721664, 1744271412880973312, 1/18, O
1744271412880973312, 1744271412881161984, 1/17, O
1744271412881161984, 1744271412881348608, 1/18, O
1744271412881348608, 1744271412881534720, 1/18, O
1744271412881534720, 1744271412881723648, 1/15, O
1744271412881723648, 1744271412881910272, 1/18, O
1744271412881910272, 1744271412882096384, 1/19, O
1744271412882096384, 1744271412882281984, 1/18, O
1744271412882281984, 1744271412882468352, 1/18, O
1744271412882468352, 1744271412882654208, 1/19, O
1744271412882654208, 1744271412882840320, 1/18, O
1744271412882840320, 1744271412883026176, 1/19, O
1744271412883026176, 1744271412883212544, 1/18, O
1744271412883212544, 1744271412883401984, 1/15, O
1744271412883401984, 1744271412883588352, 1/18, O
1744271412883588352, 1744271412883774720, 1/19, O
1744271412883774720, 1744271412883960576, 1/18, O
1744271412883960576, 1744271412884146688, 1/19, O
1744271412884146688, 1744271412884332800, 1/18, O
1744271412884332800, 1744271412884518912, 1/18, O
1744271412884518912, 1744271412884704768, 1/19, O
1744271412884704768, 1744271412884890624, 1/18, O
1744271412884890624, 1744271412885078528, 1/16, O
1744271412885078528, 1744271412885267200, 1/16, O
1744271412885267200, 1744271412885453312, 1/18, O
1744271412885453312, 1744271412885639424, 1/18, O
1744271412885639424, 1744271412885825536, 1/19, O
1744271412885825536, 1744271412886011136, 1/18, O
1744271412886011136, 1744271412886196992, 1/19, O
1744271412886196992, 1744271412886385408, 1/18, O
1744271412886385408, 1744271412886571520, 1/18, O
1744271412886571520, 1744271412886757632, 1/19, O
