1744271413479084032, 1744271413479271680, 1/19, O
1744271413479271680, 1744271413479458560, 1/18, O
1744271413479458560, 1744271413479646464, 1/18, O
1744271413479646464, 1744271413479833856, 1/19, O
1744271413479833856, 1744271413480020224, 1/18, O
1744271413480020224, 1744271413480206592, 1/18, O
1744271413480206592, 1744271413480393728, 1/18, O
1744271413480393728, 1744271413480579840, 1/19, O
1744271413480579840, 1744271413480767744, 1/17, O
1744271413480767744, 1744271413480997376, 1/14, O
1744271413480997376, 1744271413481186048, 2/16, O
1744271413481186048, 1744271413481373696, 1/19, O
1744271413481373696, 1744271413481560832, 1/18, O
1744271413481560832, 1744271413481748224, 1/19, O
1744271413481748224, 1744271413481935616, 1/18, O
1744271413481935616, 1744271413482123008, 1/18, O
1744271413482123008, 1744271413482309632, 1/18, O
1744271413482309632, 1744271413482496256, 1/19, O
1744271413482496256, 1744271413482686464, 1/15, O
1744271413482686464, 1744271413482874112, 1/18, O
1744271413482874112, 1744271413483060480, 1/18, O
1744271413483060480, 1744271413483247104, 1/19, O
1744271413483247104, 1744271413483434496, 1/18, O
1744271413483434496, 1744271413483621376, 1/18, O
1744271413483621376, 1744271413483808512, 1/19, O
1744271413483808512, 1744271413483995648, 1/18, O
1744271413483995648, 1744271413484182528, 1/18, O
1744271413484182528, 1744271413484372224, 1/15, O
1744271413484372224, 1744271413484560128, 1/18, O
1744271413484560128, 1744271413484746752, 1/19, O
1744271413484746752, 1744271413484951040, 1/18, O
1744271413484951040, 1744271413485138432, 1/18, O
1744271413485138432, 1744271413485325312, 1/19, O
1744271413485325312, 1744271413485512192, 1/18, O
1744271413485512192, 1744271413485698304, 1/19, O
1744271413485698304, 1744271413485885696, 1/18, O
1744271413485885696, 1744271413486075904, 1/15, O
1744271413486075904, 1744271413486263808, 1/18, O
1744271413486263808, 1744271413486450432, 1/18, O
1744271413486450432, 1744271413486638592, 1/19, O
1744271413486638592, 1744271413486825728, 1/18, O
1744271413486825728, 1744271413487013120, 1/18, O
1744271413487013120, 1744271413487199744, 1/19, O
1744271413487199744, 1744271413487386368, 1/18, O
1744271413487386368, 1744271413487621376, 1/18, O
1744271413487621376, 1744271413487812352, 1/15, O
1744271413487812352, 1744271413487999232, 1/18, O
1744271413487999232, 1744271413488186112, 1/19, O
1744271413488186112, 1744271413488373504, 1/18, O
1744271413488373504, 1744271413488560384, 1/18, O
1744271413488560384, 1744271413488747520, 1/19, O
1744271413488747520, 1744271413488998912, 1/18, O
1744271413488998912, 1744271413489187072, 1/16, O
1744271413489187072, 1744271413489375744, 1/18, O
1744271413489375744, 1744271413489567488, 1/15, O
1744271413489567488, 1744271413489754880, 1/18, O
1744271413489754880, 1744271413489941248, 1/19, O
1744271413489941248, 1744271413490128384, 1/18, O
1744271413490128384, 1744271413490315776, 1/19, O
1744271413490315776, 1744271413490502400, 1/18, O
1744271413490502400, 1744271413490689024, 1/19, O
1744271413490689024, 1744271413490876160, 1/18, O
1744271413490876160, 1744271413491063552, 1/18, O
1744271413491063552, 1744271413491252224, 1/17, O
1744271413491252224, 1744271413491439872, 1/17, O
1744271413491439872, 1744271413491626752, 1/18, O
1744271413491626752, 1744271413491814400, 1/18, O
1744271413491814400, 1744271413492001536, 1/19, O
1744271413492001536, 1744271413492188416, 1/18, O
1744271413492188416, 1744271413492374784, 1/18, O
1744271413492374784, 1744271413492562176, 1/19, O
1744271413492562176, 1744271413492749312, 1/18, O
1744271413492749312, 1744271413492949504, 1/18, O
1744271413492949504, 1744271413493140224, 1/15, O
1744271413493140224, 1744271413493326592, 1/19, O
1744271413493326592, 1744271413493513216, 1/18, O
1744271413493513216, 1744271413493699840, 1/18, O
1744271413493699840, 1744271413493886976, 1/19, O
1744271413493886976, 1744271413494073088, 1/18, O
1744271413494073088, 1744271413494259968, 1/18, O
1744271413494259968, 1744271413494446336, 1/19, O
1744271413494446336, 1744271413494633728, 1/18, O
1744271413494633728, 1744271413494823424, 1/15, O
1744271413494823424, 1744271413495010560, 1/18, O
1744271413495010560, 1744271413495197952, 1/18, O
1744271413495197952, 1744271413495385088, 1/19, O
1744271413495385088, 1744271413495571968, 1/18, O
1744271413495571968, 1744271413495758080, 1/18, O
1744271413495758080, 1744271413495944704, 1/19, O
1744271413495944704, 1744271413496131840, 1/18, O
1744271413496131840, 1744271413496319232, 1/18, O
1744271413496319232, 1744271413496509696, 1/15, O
1744271413496509696, 1744271413496696832, 1/18, O
1744271413496696832, 1744271413496884224, 1/19, O
1744271413496884224, 1744271413497076992, 1/6, O
1744271413497076992, 1744271413497264640, 1/16, O
1744271413497264640, 1744271413497452544, 1/19, O
1744271413497452544, 1744271413497642496, 1/18, O
1744271413497642496, 1744271413497828608, 1/18, O
1744271413497828608, 1744271413498015232, 1/18, O
1744271413498015232, 1744271413498202368, 1/19, O
1744271413498202368, 1744271413498392576, 1/14, O
1744271413498392576, 1744271413498579712, 1/19, O
1744271413498579712, 1744271413498767104, 1/18, O
1744271413498767104, 1744271413498953984, 1/18, O
1744271413498953984, 1744271413499140096, 1/19, O
1744271413499140096, 1744271413499326976, 1/18, O
1744271413499326976, 1744271413499514368, 1/18, O
1744271413499514368, 1744271413499700736, 1/19, O
1744271413499700736, 1744271413499887616, 1/18, O
1744271413499887616, 1744271413500078080, 1/14, O
1744271413500078080, 1744271413500265728, 1/18, O
1744271413500265728, 1744271413500452608, 1/19, O
1744271413500452608, 1744271413500639232, 1/18, O
1744271413500639232, 1744271413500826368, 1/19, O
1744271413500826368, 1744271413501014528, 2/14, O
1744271413501014528, 1744271413501201664, 1/19, O
1744271413501201664, 1744271413501391104, 1/18, O
1744271413501391104, 1744271413501578240, 1/19, O
1744271413501578240, 1744271413501768704, 1/14, O
1744271413501768704, 1744271413501955840, 1/18, O
1744271413501955840, 1744271413502142976, 1/19, O
1744271413502142976, 1744271413502329600, 1/18, O
1744271413502329600, 1744271413502516480, 1/19, O
1744271413502516480, 1744271413502703104, 1/18, O
1744271413502703104, 1744271413502889984, 1/18, O
1744271413502889984, 1744271413503076864, 1/19, O
1744271413503076864, 1744271413503263744, 1/18, O
1744271413503263744, 1744271413503453696, 1/14, O
1744271413503453696, 1744271413503640320, 1/19, O
1744271413503640320, 1744271413503826688, 1/18, O
1744271413503826688, 1744271413504013568, 1/18, O
1744271413504013568, 1744271413504200192, 1/19, O
1744271413504200192, 1744271413504387072, 1/18, O
1744271413504387072, 1744271413504573184, 1/19, O
1744271413504573184, 1744271413504759552, 1/18, O
1744271413504759552, 1744271413505008640, 1/17, O
1744271413505008640, 1744271413505199360, 1/16, O
1744271413505199360, 1744271413505388288, 1/16, O
1744271413505388288, 1744271413505575680, 1/19, O
1744271413505575680, 1744271413505763072, 1/18, O
1744271413505763072, 1744271413505949440, 1/18, O
1744271413505949440, 1744271413506136064, 1/19, O
1744271413506136064, 1744271413506323456, 1/18, O
1744271413506323456, 1744271413506510080, 1/18, O
1744271413506510080, 1744271413506696960, 1/19, O
1744271413506696960, 1744271413506883584, 1/18, O
1744271413506883584, 1744271413507073280, 1/15, O
1744271413507073280, 1744271413507261696, 1/18, O
1744271413507261696, 1744271413507448832, 1/19, O
1744271413507448832, 1744271413507635712, 1/18, O
1744271413507635712, 1744271413507822080, 1/18, O
1744271413507822080, 1744271413508009472, 1/19, O
1744271413508009472, 1744271413508196352, 1/18, O
1744271413508196352, 1744271413508381952, 1/18, O
1744271413508381952, 1744271413508576768, 1/19, O
1744271413508576768, 1744271413508766720, 1/14, O
1744271413508766720, 1744271413508952064, 1/16, O
1744271413508952064, 1744271413509138432, 1/19, O
1744271413509138432, 1744271413509325568, 1/18, O
1744271413509325568, 1744271413509512448, 1/18, O
1744271413509512448, 1744271413509699072, 1/19, O
1744271413509699072, 1744271413509885696, 1/18, O
1744271413509885696, 1744271413510072320, 1/18, O
1744271413510072320, 1744271413510259200, 1/19, O
1744271413510259200, 1744271413510449152, 1/14, O
1744271413510449152, 1744271413510636288, 1/18, O
1744271413510636288, 1744271413510823168, 1/19, O
1744271413510823168, 1744271413511009792, 1/18, O
1744271413511009792, 1744271413511197184, 1/18, O
1744271413511197184, 1744271413511383808, 1/19, O
1744271413511383808, 1744271413511569664, 1/18, O
1744271413511569664, 1744271413511756288, 1/19, O
1744271413511756288, 1744271413511942656, 1/18, O
1744271413511942656, 1744271413512132352, 1/15, O
1744271413512132352, 1744271413512319232, 1/18, O
1744271413512319232, 1744271413512506112, 1/18, O
1744271413512506112, 1744271413512691456, 1/19, O
1744271413512691456, 1744271413512877824, 1/18, O
1744271413512877824, 1744271413513067264, 1/9, O
1744271413513067264, 1744271413513257472, 1/17, O
1744271413513257472, 1744271413513444608, 1/18, O
1744271413513444608, 1744271413513631488, 1/18, O
1744271413513631488, 1744271413513818368, 1/19, O
1744271413513818368, 1744271413514008064, 1/14, O
1744271413514008064, 1744271413514194944, 1/19, O
1744271413514194944, 1744271413514380800, 1/18, O
1744271413514380800, 1744271413514567424, 1/18, O
1744271413514567424, 1744271413514754048, 1/19, O
1744271413514754048, 1744271413514940416, 1/18, O
1744271413514940416, 1744271413515126528, 1/18, O
1744271413515126528, 1744271413515313152, 1/19, O
1744271413515313152, 1744271413515499264, 1/18, O
1744271413515499264, 1744271413515688448, 1/15, O
1744271413515688448, 1744271413515874816, 1/18, O
1744271413515874816, 1744271413516061184, 1/18, O
1744271413516061184, 1744271413516246784, 1/19, O
1744271413516246784, 1744271413516434176, 1/18, O
1744271413516434176, 1744271413516620800, 1/19, O
1744271413516620800, 1744271413516807424, 1/18, O
1744271413516807424, 1744271413516996352, 2/14, O
1744271413516996352, 1744271413517182720, 1/18, O
1744271413517182720, 1744271413517371904, 1/15, O
1744271413517371904, 1744271413517558016, 1/18, O
1744271413517558016, 1744271413517744128, 1/19, O
1744271413517744128, 1744271413517930240, 1/18, O
1744271413517930240, 1744271413518118400, 1/19, O
1744271413518118400, 1744271413518305536, 1/18, O
1744271413518305536, 1744271413518492672, 1/19, O
1744271413518492672, 1744271413518678784, 1/18, O
1744271413518678784, 1744271413518864896, 1/18, O
1744271413518864896, 1744271413519055360, 1/15, O
1744271413519055360, 1744271413519242752, 1/18, O
1744271413519242752, 1744271413519429632, 1/19, O
1744271413519429632, 1744271413519616768, 1/18, O
1744271413519616768, 1744271413519802624, 1/19, O
1744271413519802624, 1744271413519988480, 1/18, O
1744271413519988480, 1744271413520174592, 1/18, O
1744271413520174592, 1744271413520360704, 1/19, O
1744271413520360704, 1744271413520546816, 1/18, O
1744271413520546816, 1744271413520735232, 1/15, O
1744271413520735232, 1744271413520997632, 1/19, O
1744271413520997632, 1744271413521187584, 1/8, O
1744271413521187584, 1744271413521376000, 1/18, O
1744271413521376000, 1744271413521562368, 1/19, O
1744271413521562368, 1744271413521748224, 1/18, O
1744271413521748224, 1744271413521934080, 1/18, O
1744271413521934080, 1744271413522119936, 1/19, O
1744271413522119936, 1744271413522305792, 1/18, O
1744271413522305792, 1744271413522491392, 1/19, O
1744271413522491392, 1744271413522680832, 1/14, O
1744271413522680832, 1744271413522866944, 1/19, O
1744271413522866944, 1744271413523052800, 1/18, O
1744271413523052800, 1744271413523238400, 1/18, O
1744271413523238400, 1744271413523424512, 1/19, O
1744271413523424512, 1744271413523610112, 1/18, O
1744271413523610112, 1744271413523795968, 1/19, O
1744271413523795968, 1744271413523981824, 1/18, O
1744271413523981824, 1744271413524167424, 1/19, O
1744271413524167424, 1744271413524356352, 1/14, O
1744271413524356352, 1744271413524543488, 1/19, O
1744271413524543488, 1744271413524731136, 1/18, O
1744271413524731136, 1744271413524946432, 1/18, O
1744271413524946432, 1744271413525136384, 1/18, O
1744271413525136384, 1744271413525324288, 1/19, O
1744271413525324288, 1744271413525510400, 1/18, O
1744271413525510400, 1744271413525696512, 1/18, O
1744271413525696512, 1744271413525882880, 1/19, O
1744271413525882880, 1744271413526073088, 1/14, O
1744271413526073088, 1744271413526285312, 1/18, O
1744271413526285312, 1744271413526471680, 1/18, O
1744271413526471680, 1744271413526657792, 1/19, O
1744271413526657792, 1744271413526843904, 1/18, O
1744271413526843904, 1744271413527029504, 1/19, O
1744271413527029504, 1744271413527215104, 1/18, O
1744271413527215104, 1744271413527401216, 1/18, O
1744271413527401216, 1744271413527586816, 1/19, O
1744271413527586816, 1744271413527776000, 1/15, O
1744271413527776000, 1744271413527962368, 1/18, O
1744271413527962368, 1744271413528149760, 1/19, O
1744271413528149760, 1744271413528336128, 1/18, O
1744271413528336128, 1744271413528521984, 1/18, O
1744271413528521984, 1744271413528707840, 1/19, O
1744271413528707840, 1744271413528893440, 1/18, O
1744271413528893440, 1744271413529086464, 1/9, O
1744271413529086464, 1744271413529276672, 0/18, X
1744271413529276672, 1744271413529462784, 1/18, O
1744271413529462784, 1744271413529652224, 1/15, O
1744271413529652224, 1744271413529838848, 1/18, O
1744271413529838848, 1744271413530024960, 1/19, O
1744271413530024960, 1744271413530211072, 1/18, O
1744271413530211072, 1744271413530396672, 1/18, O
1744271413530396672, 1744271413530582784, 1/19, O
1744271413530582784, 1744271413530768384, 1/18, O
1744271413530768384, 1744271413530954240, 1/19, O
1744271413530954240, 1744271413531140096, 1/18, O
1744271413531140096, 1744271413531329792, 1/15, O
1744271413531329792, 1744271413531516160, 1/18, O
1744271413531516160, 1744271413531702528, 1/19, O
1744271413531702528, 1744271413531888640, 1/18, O
1744271413531888640, 1744271413532074752, 1/19, O
1744271413532074752, 1744271413532261120, 1/18, O
1744271413532261120, 1744271413532447488, 1/18, O
1744271413532447488, 1744271413532634624, 1/19, O
1744271413532634624, 1744271413532821248, 1/18, O
1744271413532821248, 1744271413533010432, 2/12, O
1744271413533010432, 1744271413533196800, 1/19, O
1744271413533196800, 1744271413533382912, 1/18, O
1744271413533382912, 1744271413533568768, 1/18, O
1744271413533568768, 1744271413533754624, 1/19, O
1744271413533754624, 1744271413533940224, 1/18, O
1744271413533940224, 1744271413534126080, 1/19, O
1744271413534126080, 1744271413534311936, 1/18, O
1744271413534311936, 1744271413534497792, 1/18, O
1744271413534497792, 1744271413534686720, 1/15, O
1744271413534686720, 1744271413534873088, 1/19, O
1744271413534873088, 1744271413535059200, 1/18, O
1744271413535059200, 1744271413535244544, 1/19, O
1744271413535244544, 1744271413535430400, 1/18, O
1744271413535430400, 1744271413535616000, 1/18, O
1744271413535616000, 1744271413535802112, 1/19, O
1744271413535802112, 1744271413535987712, 1/18, O
1744271413535987712, 1744271413536173568, 1/19, O
1744271413536173568, 1744271413536363264, 1/16, O
1744271413536363264, 1744271413536550144, 1/17, O
1744271413536550144, 1744271413536736000, 1/19, O
1744271413536736000, 1744271413536978176, 1/18, O
1744271413536978176, 1744271413537168128, 1/16, O
1744271413537168128, 1744271413537354496, 1/19, O
1744271413537354496, 1744271413537540608, 1/18, O
1744271413537540608, 1744271413537726208, 1/19, O
1744271413537726208, 1744271413537912064, 1/18, O
1744271413537912064, 1744271413538097664, 1/18, O
1744271413538097664, 1744271413538289408, 1/15, O
1744271413538289408, 1744271413538476544, 1/19, O
1744271413538476544, 1744271413538662400, 1/18, O
1744271413538662400, 1744271413538848256, 1/19, O
1744271413538848256, 1744271413539034368, 1/18, O
1744271413539034368, 1744271413539220480, 1/19, O
1744271413539220480, 1744271413539406336, 1/18, O
1744271413539406336, 1744271413539592704, 1/19, O
1744271413539592704, 1744271413539778560, 1/18, O
1744271413539778560, 1744271413539967488, 1/15, O
1744271413539967488, 1744271413540153856, 1/18, O
1744271413540153856, 1744271413540339712, 1/19, O
1744271413540339712, 1744271413540525568, 1/18, O
1744271413540525568, 1744271413540711936, 1/18, O
1744271413540711936, 1744271413540897792, 1/19, O
1744271413540897792, 1744271413541085184, 1/7, O
1744271413541085184, 1744271413541272320, 1/18, O
1744271413541272320, 1744271413541458944, 1/18, O
1744271413541458944, 1744271413541648384, 1/15, O
1744271413541648384, 1744271413541834752, 1/18, O
1744271413541834752, 1744271413542020608, 1/19, O
1744271413542020608, 1744271413542206464, 1/18, O
1744271413542206464, 1744271413542392320, 1/19, O
1744271413542392320, 1744271413542577920, 1/18, O
1744271413542577920, 1744271413542763776, 1/19, O
1744271413542763776, 1744271413542949632, 1/18, O
1744271413542949632, 1744271413543135744, 1/18, O
1744271413543135744, 1744271413543324160, 1/17, O
1744271413543324160, 1744271413543511552, 1/17, O
1744271413543511552, 1744271413543697664, 1/18, O
1744271413543697664, 1744271413543883520, 1/19, O
1744271413543883520, 1744271413544069120, 1/18, O
1744271413544069120, 1744271413544254720, 1/18, O
1744271413544254720, 1744271413544440320, 1/19, O
1744271413544440320, 1744271413544626432, 1/18, O
1744271413544626432, 1744271413544812288, 1/19, O
1744271413544812288, 1744271413545003008, 1/9, O
1744271413545003008, 1744271413545193728, 1/13, O
1744271413545193728, 1744271413545380608, 1/18, O
1744271413545380608, 1744271413545567488, 1/19, O
1744271413545567488, 1744271413545753088, 1/18, O
1744271413545753088, 1744271413545939712, 1/19, O
1744271413545939712, 1744271413546125568, 1/18, O
1744271413546125568, 1744271413546313472, 1/18, O
1744271413546313472, 1744271413546499840, 1/19, O
1744271413546499840, 1744271413546686208, 1/18, O
1744271413546686208, 1744271413546875648, 1/15, O
1744271413546875648, 1744271413547062784, 1/18, O
1744271413547062784, 1744271413547249152, 1/19, O
1744271413547249152, 1744271413547434496, 1/18, O
1744271413547434496, 1744271413547620352, 1/18, O
1744271413547620352, 1744271413547805952, 1/19, O
1744271413547805952, 1744271413547991808, 1/18, O
1744271413547991808, 1744271413548177664, 1/19, O
1744271413548177664, 1744271413548364544, 1/18, O
1744271413548364544, 1744271413548553984, 1/15, O
1744271413548553984, 1744271413548740608, 1/18, O
1744271413548740608, 1744271413548945152, 1/19, O
1744271413548945152, 1744271413549132032, 1/18, O
1744271413549132032, 1744271413549318144, 1/18, O
1744271413549318144, 1744271413549504000, 1/18, O
1744271413549504000, 1744271413549689856, 1/19, O
1744271413549689856, 1744271413549875200, 1/18, O
1744271413549875200, 1744271413550061056, 1/19, O
1744271413550061056, 1744271413550249984, 1/15, O
1744271413550249984, 1744271413550436608, 1/18, O
1744271413550436608, 1744271413550622720, 1/18, O
1744271413550622720, 1744271413550808576, 1/18, O
1744271413550808576, 1744271413550994688, 1/19, O
1744271413550994688, 1744271413551180288, 1/18, O
1744271413551180288, 1744271413551366144, 1/19, O
1744271413551366144, 1744271413551552000, 1/18, O
1744271413551552000, 1744271413551737856, 1/19, O
1744271413551737856, 1744271413551931904, 1/16, O
1744271413551931904, 1744271413552119552, 1/17, O
1744271413552119552, 1744271413552305408, 1/19, O
1744271413552305408, 1744271413552491264, 1/18, O
1744271413552491264, 1744271413552677376, 1/18, O
1744271413552677376, 1744271413552863232, 1/19, O
1744271413552863232, 1744271413553052672, 2/9, O
1744271413553052672, 1744271413553240320, 2/17, O
1744271413553240320, 1744271413553426944, 1/18, O
1744271413553426944, 1744271413553613056, 1/18, O
1744271413553613056, 1744271413553802496, 1/15, O
1744271413553802496, 1744271413553988608, 1/18, O
1744271413553988608, 1744271413554174720, 1/19, O
1744271413554174720, 1744271413554360576, 1/18, O
1744271413554360576, 1744271413554546432, 1/18, O
1744271413554546432, 1744271413554732288, 1/19, O
1744271413554732288, 1744271413554918144, 1/18, O
1744271413554918144, 1744271413555104000, 1/19, O
1744271413555104000, 1744271413555289856, 1/18, O
1744271413555289856, 1744271413555478784, 1/15, O
1744271413555478784, 1744271413555665152, 1/18, O
1744271413555665152, 1744271413555851520, 1/19, O
1744271413555851520, 1744271413556037376, 1/18, O
1744271413556037376, 1744271413556224000, 1/19, O
1744271413556224000, 1744271413556410624, 1/18, O
1744271413556410624, 1744271413556596224, 1/18, O
1744271413556596224, 1744271413556782336, 1/19, O
1744271413556782336, 1744271413556960000, 1/14, O
1744271413556960000, 1744271413557147648, 1/18, O
1744271413557147648, 1744271413557336320, 1/15, O
1744271413557336320, 1744271413557522432, 1/18, O
1744271413557522432, 1744271413557708288, 1/19, O
1744271413557708288, 1744271413557894400, 1/18, O
1744271413557894400, 1744271413558080256, 1/19, O
1744271413558080256, 1744271413558265856, 1/18, O
1744271413558265856, 1744271413558452736, 1/19, O
1744271413558452736, 1744271413558639360, 1/18, O
1744271413558639360, 1744271413558825216, 1/18, O
1744271413558825216, 1744271413559013888, 1/15, O
1744271413559013888, 1744271413559200768, 1/19, O
1744271413559200768, 1744271413559387136, 1/18, O
1744271413559387136, 1744271413559572736, 1/19, O
1744271413559572736, 1744271413559758848, 1/18, O
1744271413559758848, 1744271413559944704, 1/18, O
1744271413559944704, 1744271413560131072, 1/19, O
1744271413560131072, 1744271413560318976, 1/18, O
1744271413560318976, 1744271413560504832, 1/19, O
1744271413560504832, 1744271413560694528, 1/14, O
1744271413560694528, 1744271413560881664, 1/19, O
1744271413560881664, 1744271413561070848, 1/10, O
1744271413561070848, 1744271413561257984, 1/16, O
1744271413561257984, 1744271413561444608, 1/18, O
1744271413561444608, 1744271413561630976, 1/19, O
1744271413561630976, 1744271413561816832, 1/18, O
1744271413561816832, 1744271413562002944, 1/19, O
1744271413562002944, 1744271413562189056, 1/18, O
1744271413562189056, 1744271413562378752, 1/15, O
1744271413562378752, 1744271413562565120, 1/18, O
1744271413562565120, 1744271413562750976, 1/18, O
1744271413562750976, 1744271413562936832, 1/19, O
1744271413562936832, 1744271413563122688, 1/18, O
1744271413563122688, 1744271413563308800, 1/19, O
1744271413563308800, 1744271413563495168, 1/18, O
1744271413563495168, 1744271413563681280, 1/19, O
1744271413563681280, 1744271413563867136, 1/18, O
1744271413563867136, 1744271413564055808, 1/16, O
1744271413564055808, 1744271413564241920, 1/18, O
1744271413564241920, 1744271413564427776, 1/18, O
1744271413564427776, 1744271413564638208, 1/18, O
1744271413564638208, 1744271413564824320, 1/19, O
1744271413564824320, 1744271413565011712, 1/13, O
1744271413565011712, 1744271413565198080, 1/18, O
1744271413565198080, 1744271413565383936, 1/19, O
1744271413565383936, 1744271413565570304, 1/18, O
1744271413565570304, 1744271413565755648, 1/19, O
1744271413565755648, 1744271413565944576, 1/14, O
1744271413565944576, 1744271413566131200, 1/18, O
1744271413566131200, 1744271413566317824, 1/19, O
1744271413566317824, 1744271413566503680, 1/18, O
1744271413566503680, 1744271413566691072, 1/19, O
1744271413566691072, 1744271413566889728, 1/18, O
1744271413566889728, 1744271413567076096, 1/18, O
1744271413567076096, 1744271413567262976, 1/18, O
1744271413567262976, 1744271413567449856, 1/19, O
1744271413567449856, 1744271413567640320, 2/12, O
1744271413567640320, 1744271413567827968, 1/18, O
1744271413567827968, 1744271413568015104, 1/19, O
1744271413568015104, 1744271413568221696, 1/18, O
1744271413568221696, 1744271413568409088, 1/18, O
1744271413568409088, 1744271413568596224, 1/19, O
1744271413568596224, 1744271413568783360, 1/18, O
1744271413568783360, 1744271413569036544, 1/14, O
1744271413569036544, 1744271413569226496, 1/17, O
1744271413569226496, 1744271413569441280, 1/14, O
1744271413569441280, 1744271413569632000, 1/15, O
1744271413569632000, 1744271413569819392, 1/18, O
1744271413569819392, 1744271413570007040, 1/18, O
1744271413570007040, 1744271413570193920, 1/19, O
1744271413570193920, 1744271413570381056, 1/18, O
1744271413570381056, 1744271413570567936, 1/18, O
1744271413570567936, 1744271413570754560, 1/19, O
1744271413570754560, 1744271413570941184, 1/18, O
1744271413570941184, 1744271413571128320, 1/18, O
1744271413571128320, 1744271413571318272, 1/15, O
1744271413571318272, 1744271413571506176, 1/18, O
1744271413571506176, 1744271413571693056, 1/19, O
1744271413571693056, 1744271413571879424, 1/18, O
1744271413571879424, 1744271413572066560, 1/18, O
1744271413572066560, 1744271413572252928, 1/19, O
1744271413572252928, 1744271413572440320, 1/18, O
1744271413572440320, 1744271413572627968, 1/19, O
1744271413572627968, 1744271413572814848, 1/18, O
1744271413572814848, 1744271413573011968, 1/6, O
1744271413573011968, 1744271413573199872, 1/18, O
1744271413573199872, 1744271413573387776, 1/18, O
1744271413573387776, 1744271413573574656, 1/18, O
1744271413573574656, 1744271413573762048, 1/18, O
1744271413573762048, 1744271413573949184, 1/18, O
1744271413573949184, 1744271413574136064, 1/18, O
1744271413574136064, 1744271413574323456, 1/19, O
1744271413574323456, 1744271413574509824, 1/18, O
1744271413574509824, 1744271413574696192, 1/18, O
1744271413574696192, 1744271413574886144, 1/15, O
1744271413574886144, 1744271413575072512, 1/18, O
1744271413575072512, 1744271413575258624, 1/19, O
1744271413575258624, 1744271413575444736, 1/18, O
1744271413575444736, 1744271413575630848, 1/18, O
1744271413575630848, 1744271413575817984, 1/19, O
1744271413575817984, 1744271413576004608, 1/18, O
1744271413576004608, 1744271413576191488, 1/18, O
1744271413576191488, 1744271413576378112, 1/19, O
1744271413576378112, 1744271413576567552, 1/15, O
1744271413576567552, 1744271413576754432, 1/18, O
1744271413576754432, 1744271413577041408, 1/18, O
1744271413577041408, 1744271413577229568, 2/16, O
1744271413577229568, 1744271413577416448, 1/18, O
1744271413577416448, 1744271413577602560, 1/19, O
1744271413577602560, 1744271413577788672, 1/18, O
1744271413577788672, 1744271413577974528, 1/19, O
1744271413577974528, 1744271413578160128, 1/18, O
1744271413578160128, 1744271413578349568, 1/15, O
1744271413578349568, 1744271413578536448, 1/18, O
1744271413578536448, 1744271413578723584, 1/18, O
1744271413578723584, 1744271413578909952, 1/19, O
1744271413578909952, 1744271413579095808, 1/18, O
1744271413579095808, 1744271413579281920, 1/19, O
1744271413579281920, 1744271413579467520, 1/18, O
1744271413579467520, 1744271413579653632, 1/18, O
1744271413579653632, 1744271413579839744, 1/19, O
1744271413579839744, 1744271413580028672, 1/14, O
1744271413580028672, 1744271413580215040, 1/19, O
1744271413580215040, 1744271413580400640, 1/18, O
1744271413580400640, 1744271413580586752, 1/19, O
1744271413580586752, 1744271413580772352, 1/18, O
1744271413580772352, 1744271413580951552, 1/15, O
1744271413580951552, 1744271413581138176, 1/19, O
1744271413581138176, 1744271413581326080, 1/18, O
1744271413581326080, 1744271413581512448, 1/18, O
1744271413581512448, 1744271413581700864, 1/14, O
1744271413581700864, 1744271413581892352, 1/6, O
1744271413581892352, 1744271413582080000, 1/18, O
1744271413582080000, 1744271413582266368, 1/18, O
1744271413582266368, 1744271413582452480, 1/19, O
1744271413582452480, 1744271413582638336, 1/18, O
1744271413582638336, 1744271413582823936, 1/18, O
1744271413582823936, 1744271413583010048, 1/19, O
1744271413583010048, 1744271413583198976, 1/18, O
1744271413583198976, 1744271413583385088, 1/18, O
1744271413583385088, 1744271413583576576, 1/15, O
1744271413583576576, 1744271413583764480, 1/18, O
1744271413583764480, 1744271413583951360, 1/18, O
1744271413583951360, 1744271413584137216, 1/19, O
1744271413584137216, 1744271413584323584, 1/18, O
1744271413584323584, 1744271413584509440, 1/18, O
1744271413584509440, 1744271413584695040, 1/19, O
1744271413584695040, 1744271413584880896, 1/18, O
1744271413584880896, 1744271413585072896, 2/7, O
1744271413585072896, 1744271413585260800, 1/18, O
1744271413585260800, 1744271413585450240, 1/15, O
1744271413585450240, 1744271413585636352, 1/18, O
1744271413585636352, 1744271413585822208, 1/19, O
1744271413585822208, 1744271413586008320, 1/18, O
1744271413586008320, 1744271413586195200, 1/18, O
1744271413586195200, 1744271413586381824, 1/19, O
1744271413586381824, 1744271413586567680, 1/18, O
1744271413586567680, 1744271413586753536, 1/19, O
1744271413586753536, 1744271413586939904, 1/18, O
1744271413586939904, 1744271413587128832, 1/14, O
1744271413587128832, 1744271413587315200, 1/19, O
1744271413587315200, 1744271413587502080, 1/18, O
1744271413587502080, 1744271413587688192, 1/19, O
1744271413587688192, 1744271413587873792, 1/18, O
1744271413587873792, 1744271413588059648, 1/18, O
1744271413588059648, 1744271413588245760, 1/19, O
1744271413588245760, 1744271413588431872, 1/18, O
1744271413588431872, 1744271413588617984, 1/19, O
1744271413588617984, 1744271413588808448, 1/14, O
